,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
907,9979,932,11.79%,3329,Joan V Davis,,Non Partisan Representative Town Meeting District IV,0,31,November 2018 State Election,11/06/2018
908,9980,792,10.02%,3329,"Joseph H Hardison, III",,Non Partisan Representative Town Meeting District IV,0,31,November 2018 State Election,11/06/2018
909,9981,860,10.88%,3329,Olive J Hauser,,Non Partisan Representative Town Meeting District IV,0,31,November 2018 State Election,11/06/2018
910,9982,836,10.58%,3329,Michael G Heitz,,Non Partisan Representative Town Meeting District IV,0,31,November 2018 State Election,11/06/2018
911,9983,939,11.88%,3329,Sarah B Neumann,,Non Partisan Representative Town Meeting District IV,0,31,November 2018 State Election,11/06/2018
912,9984,788,9.97%,3329,Rolf C Obin,,Non Partisan Representative Town Meeting District IV,0,31,November 2018 State Election,11/06/2018
913,9985,925,11.70%,3329,Brian J Rayhill,,Non Partisan Representative Town Meeting District IV,0,31,November 2018 State Election,11/06/2018
914,9986,953,12.06%,3329,Linda S Terhune,,Non Partisan Representative Town Meeting District IV,0,31,November 2018 State Election,11/06/2018
915,9987,878,11.11%,3329,Morgan B Whittier,,Non Partisan Representative Town Meeting District IV,0,31,November 2018 State Election,11/06/2018
